Id,Code,StateId,MunicipalityId,LocalityId,IsBorderZone,TimeZone,TimeZoneOffset
0000-20083,20083,AGU,,0000,0,Tiempo del Centro,-6
0000-20084,20084,AGU,,0000,0,Tiempo del Centro,-6
0000-20085,20085,AGU,,0000,0,Tiempo del Centro,-6
0000-20086,20086,AGU,,0000,0,Tiempo del Centro,-6
0000-20087,20087,AGU,,0000,0,Tiempo del Centro,-6
0000-20088,20088,AGU,,0000,0,Tiempo del Centro,-6
0001-20089,20089,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20090,20090,AGU,,0000,0,Tiempo del Centro,-6
0000-20091,20091,AGU,,0000,0,Tiempo del Centro,-6
0000-20092,20092,AGU,,0000,0,Tiempo del Centro,-6
0000-20093,20093,AGU,,0000,0,Tiempo del Centro,-6
0000-20094,20094,AGU,,0000,0,Tiempo del Centro,-6
0000-20095,20095,AGU,,0000,0,Tiempo del Centro,-6
0000-20096,20096,AGU,,0000,0,Tiempo del Centro,-6
0000-20097,20097,AGU,,0000,0,Tiempo del Centro,-6
0000-20098,20098,AGU,,0000,0,Tiempo del Centro,-6
0000-20099,20099,AGU,,0000,0,Tiempo del Centro,-6
0001-20100,20100,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20101,20101,AGU,,0000,0,Tiempo del Centro,-6
0000-20102,20102,AGU,,0000,0,Tiempo del Centro,-6
0000-20103,20103,AGU,,0000,0,Tiempo del Centro,-6
0000-20104,20104,AGU,,0000,0,Tiempo del Centro,-6
0000-20105,20105,AGU,,0000,0,Tiempo del Centro,-6
0000-20106,20106,AGU,,0000,0,Tiempo del Centro,-6
0000-20107,20107,AGU,,0000,0,Tiempo del Centro,-6
0000-20108,20108,AGU,,0000,0,Tiempo del Centro,-6
0000-20109,20109,AGU,,0000,0,Tiempo del Centro,-6
0001-20110,20110,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20111,20111,AGU,,0000,0,Tiempo del Centro,-6
0000-20112,20112,AGU,,0000,0,Tiempo del Centro,-6
0000-20113,20113,AGU,,0000,0,Tiempo del Centro,-6
0000-20114,20114,AGU,,0000,0,Tiempo del Centro,-6
0001-20115,20115,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20116,20116,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20117,20117,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20118,20118,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20119,20119,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20120,20120,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20121,20121,AGU,,0000,0,Tiempo del Centro,-6
0000-20122,20122,AGU,,0000,0,Tiempo del Centro,-6
0001-20123,20123,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20124,20124,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20125,20125,AGU,,0000,0,Tiempo del Centro,-6
0000-20126,20126,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0001-20127,20127,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20128,20128,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0001-20129,20129,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20130,20130,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20131,20131,AGU,,0000,0,Tiempo del Centro,-6
0000-20132,20132,AGU,,0000,0,Tiempo del Centro,-6
0000-20133,20133,AGU,,0000,0,Tiempo del Centro,-6
0000-20134,20134,AGU,,0000,0,Tiempo del Centro,-6
0001-20135,20135,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20136,20136,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20137,20137,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20138,20138,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20139,20139,AGU,,0000,0,Tiempo del Centro,-6
0001-20140,20140,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20141,20141,AGU,,0000,0,Tiempo del Centro,-6
0000-20142,20142,AGU,,0000,0,Tiempo del Centro,-6
0000-20143,20143,AGU,,0000,0,Tiempo del Centro,-6
0000-20144,20144,AGU,,0000,0,Tiempo del Centro,-6
0000-20145,20145,AGU,,0000,0,Tiempo del Centro,-6
0001-20146,20146,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20147,20147,AGU,,0000,0,Tiempo del Centro,-6
0000-20148,20148,AGU,,0000,0,Tiempo del Centro,-6
0001-20149,20149,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20150,20150,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20151,20151,AGU,,0000,0,Tiempo del Centro,-6
0000-20152,20152,AGU,,0000,0,Tiempo del Centro,-6
0000-20153,20153,AGU,,0000,0,Tiempo del Centro,-6
0000-20154,20154,AGU,,0000,0,Tiempo del Centro,-6
0000-20155,20155,AGU,,0000,0,Tiempo del Centro,-6
0000-20156,20156,AGU,,0000,0,Tiempo del Centro,-6
0001-20157,20157,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20158,20158,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20159,20159,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20160,20160,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20161,20161,AGU,,0000,0,Tiempo del Centro,-6
0000-20162,20162,AGU,,0000,0,Tiempo del Centro,-6
0000-20163,20163,AGU,,0000,0,Tiempo del Centro,-6
0001-20164,20164,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20165,20165,AGU,,0000,0,Tiempo del Centro,-6
0000-20166,20166,AGU,,0000,0,Tiempo del Centro,-6
0000-20167,20167,AGU,,0000,0,Tiempo del Centro,-6
0000-20168,20168,AGU,,0000,0,Tiempo del Centro,-6
0001-20169,20169,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20170,20170,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20171,20171,AGU,,0000,0,Tiempo del Centro,-6
0001-20172,20172,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20173,20173,AGU,,0000,0,Tiempo del Centro,-6
0001-20174,20174,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20175,20175,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20176,20176,AGU,,0000,0,Tiempo del Centro,-6
0001-20177,20177,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20178,20178,AGU,,0000,0,Tiempo del Centro,-6
0001-20179,20179,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20180,20180,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20181,20181,AGU,,0000,0,Tiempo del Centro,-6
0000-20182,20182,AGU,,0000,0,Tiempo del Centro,-6
0000-20183,20183,AGU,,0000,0,Tiempo del Centro,-6
0000-20184,20184,AGU,,0000,0,Tiempo del Centro,-6
0000-20185,20185,AGU,,0000,0,Tiempo del Centro,-6
0000-20186,20186,AGU,,0000,0,Tiempo del Centro,-6
0000-20187,20187,AGU,,0000,0,Tiempo del Centro,-6
0000-20188,20188,AGU,,0000,0,Tiempo del Centro,-6
0000-20189,20189,AGU,,0000,0,Tiempo del Centro,-6
0001-20190,20190,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20191,20191,AGU,,0000,0,Tiempo del Centro,-6
0000-20192,20192,AGU,,0000,0,Tiempo del Centro,-6
0000-20193,20193,AGU,,0000,0,Tiempo del Centro,-6
0000-20194,20194,AGU,,0000,0,Tiempo del Centro,-6
0000-20195,20195,AGU,,0000,0,Tiempo del Centro,-6
0001-20196,20196,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20197,20197,AGU,,0000,0,Tiempo del Centro,-6
0001-20198,20198,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20199,20199,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20200,20200,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20201,20201,AGU,,0000,0,Tiempo del Centro,-6
0000-20202,20202,AGU,,0000,0,Tiempo del Centro,-6
0000-20203,20203,AGU,,0000,0,Tiempo del Centro,-6
0000-20204,20204,AGU,,0000,0,Tiempo del Centro,-6
0001-20205,20205,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20206,20206,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20207,20207,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20208,20208,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20209,20209,AGU,,0000,0,Tiempo del Centro,-6
0001-20210,20210,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20211,20211,AGU,,0000,0,Tiempo del Centro,-6
0000-20212,20212,AGU,,0000,0,Tiempo del Centro,-6
0000-20213,20213,AGU,,0000,0,Tiempo del Centro,-6
0000-20214,20214,AGU,,0000,0,Tiempo del Centro,-6
0000-20215,20215,AGU,,0000,0,Tiempo del Centro,-6
0001-20216,20216,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20217,20217,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20218,20218,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20219,20219,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20220,20220,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20221,20221,AGU,,0000,0,Tiempo del Centro,-6
0000-20222,20222,AGU,,0000,0,Tiempo del Centro,-6
0000-20223,20223,AGU,,0000,0,Tiempo del Centro,-6
0000-20224,20224,AGU,,0000,0,Tiempo del Centro,-6
0000-20225,20225,AGU,,0000,0,Tiempo del Centro,-6
0000-20226,20226,AGU,,0000,0,Tiempo del Centro,-6
0000-20227,20227,AGU,,0000,0,Tiempo del Centro,-6
0000-20228,20228,AGU,,0000,0,Tiempo del Centro,-6
0001-20229,20229,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20230,20230,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20231,20231,AGU,,0000,0,Tiempo del Centro,-6
0000-20232,20232,AGU,,0000,0,Tiempo del Centro,-6
0000-20233,20233,AGU,,0000,0,Tiempo del Centro,-6
0001-20234,20234,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20235,20235,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20236,20236,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20237,20237,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20238,20238,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20239,20239,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20240,20240,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20241,20241,AGU,,0000,0,Tiempo del Centro,-6
0000-20242,20242,AGU,,0000,0,Tiempo del Centro,-6
0000-20243,20243,AGU,,0000,0,Tiempo del Centro,-6
0000-20244,20244,AGU,,0000,0,Tiempo del Centro,-6
0000-20245,20245,AGU,,0000,0,Tiempo del Centro,-6
0000-20246,20246,AGU,,0000,0,Tiempo del Centro,-6
0001-20247,20247,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20248,20248,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20249,20249,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20250,20250,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20251,20251,AGU,,0000,0,Tiempo del Centro,-6
0000-20252,20252,AGU,,0000,0,Tiempo del Centro,-6
0000-20253,20253,AGU,,0000,0,Tiempo del Centro,-6
0000-20254,20254,AGU,,0000,0,Tiempo del Centro,-6
0001-20255,20255,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20256,20256,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20257,20257,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20258,20258,AGU,,0000,0,Tiempo del Centro,-6
0001-20259,20259,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20260,20260,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20261,20261,AGU,,0000,0,Tiempo del Centro,-6
0000-20262,20262,AGU,,0000,0,Tiempo del Centro,-6
0001-20263,20263,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20264,20264,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20265,20265,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20266,20266,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20267,20267,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20268,20268,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20269,20269,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20270,20270,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20271,20271,AGU,,0000,0,Tiempo del Centro,-6
0000-20272,20272,AGU,,0000,0,Tiempo del Centro,-6
0000-20273,20273,AGU,,0000,0,Tiempo del Centro,-6
0000-20274,20274,AGU,,0000,0,Tiempo del Centro,-6
0000-20275,20275,AGU,,0000,0,Tiempo del Centro,-6
0001-20276,20276,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20277,20277,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20278,20278,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20279,20279,AGU,,0000,0,Tiempo del Centro,-6
0001-20280,20280,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20281,20281,AGU,,0000,0,Tiempo del Centro,-6
0000-20282,20282,AGU,,0000,0,Tiempo del Centro,-6
0001-20283,20283,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20284,20284,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20285,20285,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20286,20286,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20287,20287,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20288,20288,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20289,20289,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20290,20290,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20291,20291,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20292,20292,AGU,,0000,0,Tiempo del Centro,-6
0000-20293,20293,AGU,,0000,0,Tiempo del Centro,-6
0000-20294,20294,AGU,,0000,0,Tiempo del Centro,-6
0000-20295,20295,AGU,,0000,0,Tiempo del Centro,-6
0001-20296,20296,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20297,20297,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20298,20298,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0001-20299,20299,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0003-20300,20300,AGU,AGU-011,0003,0,Tiempo del Centro,-6
0000-20301,20301,AGU,,0000,0,Tiempo del Centro,-6
0000-20302,20302,AGU,,0000,0,Tiempo del Centro,-6
0003-20303,20303,AGU,AGU-011,0003,0,Tiempo del Centro,-6
0003-20304,20304,AGU,AGU-011,0003,0,Tiempo del Centro,-6
